codpos;localidad;provincia;codpro;subcodpos
1000;CAPITAL FEDERAL 1;C.A.B.A.;1;0
1001;CAPITAL FEDERAL;C.A.B.A.;1;0
1001;ALEM LEANDRO N. AVDA.(00501-01200);C.A.B.A.;1;1
1001;DE LAS CATALINAS(00201-00300);C.A.B.A.;1;2
1001;DEL LIBERTADOR AVDA.(00001-01000);C.A.B.A.;1;3
1001;DELLA PAOLERA(00201-00300);C.A.B.A.;1;4
1001;ROJAS RICARDO DR.(00401-00500);C.A.B.A.;1;5
1002;25 DE MAYO(00001-00800);C.A.B.A.;1;1
1002;RIVADAVIA AVDA.(00201-01000);C.A.B.A.;1;2
1003;ALEM LEANDRO N. AVDA.(00001-00500);C.A.B.A.;1;1
1003;RECONQUISTA(00001-01200);C.A.B.A.;1;2
1004;SAN MARTIN(00001-01200);C.A.B.A.;1;1
1005;C.A.B.A.;C.A.B.A.;1;0
1005;FLORIDA(00001-01100);C.A.B.A.;1;1
1005;GUEMES GALERIA( S/N -00000);C.A.B.A.;1;2
1006;BASAVILBASO(01201-01400);C.A.B.A.;1;1
1006;MAIPU(00301-01300);C.A.B.A.;1;2
1007;ARROYO(00801-01200);C.A.B.A.;1;1
1007;ESMERALDA(00401-01400);C.A.B.A.;1;2
1008;SUIPACHA(00001-01200);C.A.B.A.;1;1
1009;CARABELAS(00201-00400);C.A.B.A.;1;1
1009;PELLEGRINI CARLOS(00001-01300);C.A.B.A.;1;2
1010;ARMAUER HANSEN GERARDO DR.(S/N-00000);C.A.B.A.;1;1
1010;CERRITO(00001-01600);C.A.B.A.;1;2
1011;PELLEGRINI CARLOS(01301-01600);C.A.B.A.;1;1
1011;POSADAS(01001-01500);C.A.B.A.;1;2
1011;SUIPACHA(01201-01500);C.A.B.A.;1;3
1012;LIBERTAD(00001-01300);C.A.B.A.;1;1
1013;TALCAHUANO(00001-01200);C.A.B.A.;1;1
1014;ALVEAR AVDA.(01301-01800);C.A.B.A.;1;1
1014;PARERA(00001-00200);C.A.B.A.;1;2
1014;QUINTANA PRESIDENTE AVDA.(00001-00400);C.A.B.A.;1;3
1014;TALCAHUANO(01201-01300);C.A.B.A.;1;4
1015;RIVAROLA RODOLFO DR.(00101-00200);C.A.B.A.;1;1
